,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
59,14_61,IDENTIFIER,ecx,ecx,14_____17.0,,ADD,IDENTIFIER_17.0: ecx,variable ecx 
60,14_62,IDENTIFIER,edx,edx,14_____17.0,,ADD,IDENTIFIER_17.0: edx,variable edx 
61,14_63,CONTROL_STRUCTURE,,break;,14_____18.0,BREAK,ADD,CONTROL_STRUCTURE_18.0: break;,CtrlStruct 
62,14_64,JUMP_TARGET,case,case 1:,14_____19.0,,ADD,JUMP_TARGET_19.0: case 1:,JUMP_TARGET 
63,14_65,LITERAL,,1,14_____19.0,,ADD,LITERAL_19.0: 1,literal  
64,14_66,CALL,<operator>.assignment,*eax = env->cpuid_version,14_____20.0,,ADD,CALL_20.0: *eax = env->cpuid_version,assignment 
65,14_67,CALL,<operator>.indirection,*eax,14_____20.0,,ADD,CALL_20.0: *eax,indirection 
66,14_68,IDENTIFIER,eax,eax,14_____20.0,,ADD,IDENTIFIER_20.0: eax,variable eax 
67,14_69,CALL,<operator>.indirectFieldAccess,env->cpuid_version,14_____20.0,,ADD,CALL_20.0: env->cpuid_version,indirectFieldAccess 
68,14_70,IDENTIFIER,env,env,14_____20.0,,ADD,IDENTIFIER_20.0: env,variable env 
69,14_71,FIELD_IDENTIFIER,,cpuid_version,14_____20.0,,ADD,FIELD_IDENTIFIER_20.0: cpuid_version,variable  
70,14_72,CALL,<operator>.assignment,*ebx = (env->cpuid_apic_id << 24) | 8 << 8,14_____21.0,,ADD,CALL_21.0: *ebx = (env->cpuid_apic_id << 24) | 8 << 8,assignment 
71,14_73,CALL,<operator>.indirection,*ebx,14_____21.0,,ADD,CALL_21.0: *ebx,indirection 
72,14_74,IDENTIFIER,ebx,ebx,14_____21.0,,ADD,IDENTIFIER_21.0: ebx,variable ebx 
73,14_75,CALL,<operator>.or,(env->cpuid_apic_id << 24) | 8 << 8,14_____21.0,,ADD,CALL_21.0: (env->cpuid_apic_id << 24) | 8 << 8,or 
74,14_76,CALL,<operator>.shiftLeft,env->cpuid_apic_id << 24,14_____21.0,,ADD,CALL_21.0: env->cpuid_apic_id << 24,shiftLeft 
75,14_77,CALL,<operator>.indirectFieldAccess,env->cpuid_apic_id,14_____21.0,,ADD,CALL_21.0: env->cpuid_apic_id,indirectFieldAccess 
76,14_78,IDENTIFIER,env,env,14_____21.0,,ADD,IDENTIFIER_21.0: env,variable env 
77,14_79,FIELD_IDENTIFIER,,cpuid_apic_id,14_____21.0,,ADD,FIELD_IDENTIFIER_21.0: cpuid_apic_id,variable  
78,14_80,LITERAL,,24,14_____21.0,,ADD,LITERAL_21.0: 24,literal  
79,14_81,CALL,<operator>.shiftLeft,8 << 8,14_____21.0,,ADD,CALL_21.0: 8 << 8,shiftLeft 
80,14_82,LITERAL,,8,14_____21.0,,ADD,LITERAL_21.0: 8,literal  
81,14_83,LITERAL,,8,14_____21.0,,ADD,LITERAL_21.0: 8,literal  
82,14_84,CALL,<operator>.assignment,*ecx = env->cpuid_ext_features,14_____22.0,,ADD,CALL_22.0: *ecx = env->cpuid_ext_features,assignment 
83,14_85,CALL,<operator>.indirection,*ecx,14_____22.0,,ADD,CALL_22.0: *ecx,indirection 
84,14_86,IDENTIFIER,ecx,ecx,14_____22.0,,ADD,IDENTIFIER_22.0: ecx,variable ecx 
85,14_87,CALL,<operator>.indirectFieldAccess,env->cpuid_ext_features,14_____22.0,,ADD,CALL_22.0: env->cpuid_ext_features,indirectFieldAccess 
86,14_88,IDENTIFIER,env,env,14_____22.0,,ADD,IDENTIFIER_22.0: env,variable env 
87,14_89,FIELD_IDENTIFIER,,cpuid_ext_features,14_____22.0,,ADD,FIELD_IDENTIFIER_22.0: cpuid_ext_features,variable  
88,14_90,CALL,<operator>.assignment,*edx = env->cpuid_features,14_____23.0,,ADD,CALL_23.0: *edx = env->cpuid_features,assignment 
89,14_91,CALL,<operator>.indirection,*edx,14_____23.0,,ADD,CALL_23.0: *edx,indirection 
90,14_92,IDENTIFIER,edx,edx,14_____23.0,,ADD,IDENTIFIER_23.0: edx,variable edx 
91,14_93,CALL,<operator>.indirectFieldAccess,env->cpuid_features,14_____23.0,,ADD,CALL_23.0: env->cpuid_features,indirectFieldAccess 
92,14_94,IDENTIFIER,env,env,14_____23.0,,ADD,IDENTIFIER_23.0: env,variable env 
93,14_95,FIELD_IDENTIFIER,,cpuid_features,14_____23.0,,ADD,FIELD_IDENTIFIER_23.0: cpuid_features,variable  
94,14_96,CONTROL_STRUCTURE,,if (env->nr_cores * env->nr_threads > 1),14_____24.0,IF,ADD,CONTROL_STRUCTURE_24.0: if (env->nr_cores * env->nr_threads > 1),ifStmt 
95,14_97,CALL,<operator>.greaterThan,env->nr_cores * env->nr_threads > 1,14_____24.0,,ADD,CALL_24.0: env->nr_cores * env->nr_threads > 1,greaterThan 
96,14_98,CALL,<operator>.multiplication,env->nr_cores * env->nr_threads,14_____24.0,,ADD,CALL_24.0: env->nr_cores * env->nr_threads,multiplication 
97,14_99,CALL,<operator>.indirectFieldAccess,env->nr_cores,14_____24.0,,ADD,CALL_24.0: env->nr_cores,indirectFieldAccess 
98,14_100,IDENTIFIER,env,env,14_____24.0,,ADD,IDENTIFIER_24.0: env,variable env 
99,14_101,FIELD_IDENTIFIER,,nr_cores,14_____24.0,,ADD,FIELD_IDENTIFIER_24.0: nr_cores,variable  
100,14_102,CALL,<operator>.indirectFieldAccess,env->nr_threads,14_____24.0,,ADD,CALL_24.0: env->nr_threads,indirectFieldAccess 
101,14_103,IDENTIFIER,env,env,14_____24.0,,ADD,IDENTIFIER_24.0: env,variable env 
102,14_104,FIELD_IDENTIFIER,,nr_threads,14_____24.0,,ADD,FIELD_IDENTIFIER_24.0: nr_threads,variable  
103,14_105,LITERAL,,1,14_____24.0,,ADD,LITERAL_24.0: 1,literal  
105,14_107,CALL,<operators>.assignmentOr,*ebx |= (env->nr_cores * env->nr_threads) << 16,14_____25.0,,ADD,CALL_25.0: *ebx |= (env->nr_cores * env->nr_threads) << 16,<operators>.assignmentOr 
106,14_108,CALL,<operator>.indirection,*ebx,14_____25.0,,ADD,CALL_25.0: *ebx,indirection 
107,14_109,IDENTIFIER,ebx,ebx,14_____25.0,,ADD,IDENTIFIER_25.0: ebx,variable ebx 
108,14_110,CALL,<operator>.shiftLeft,(env->nr_cores * env->nr_threads) << 16,14_____25.0,,ADD,CALL_25.0: (env->nr_cores * env->nr_threads) << 16,shiftLeft 
109,14_111,CALL,<operator>.multiplication,env->nr_cores * env->nr_threads,14_____25.0,,ADD,CALL_25.0: env->nr_cores * env->nr_threads,multiplication 
110,14_112,CALL,<operator>.indirectFieldAccess,env->nr_cores,14_____25.0,,ADD,CALL_25.0: env->nr_cores,indirectFieldAccess 
111,14_113,IDENTIFIER,env,env,14_____25.0,,ADD,IDENTIFIER_25.0: env,variable env 
112,14_114,FIELD_IDENTIFIER,,nr_cores,14_____25.0,,ADD,FIELD_IDENTIFIER_25.0: nr_cores,variable  
113,14_115,CALL,<operator>.indirectFieldAccess,env->nr_threads,14_____25.0,,ADD,CALL_25.0: env->nr_threads,indirectFieldAccess 
114,14_116,IDENTIFIER,env,env,14_____25.0,,ADD,IDENTIFIER_25.0: env,variable env 
115,14_117,FIELD_IDENTIFIER,,nr_threads,14_____25.0,,ADD,FIELD_IDENTIFIER_25.0: nr_threads,variable  
116,14_118,LITERAL,,16,14_____25.0,,ADD,LITERAL_25.0: 16,literal  
117,14_119,CALL,<operators>.assignmentOr,*edx |= 1 << 28,14_____26.0,,ADD,CALL_26.0: *edx |= 1 << 28,<operators>.assignmentOr 
118,14_120,CALL,<operator>.indirection,*edx,14_____26.0,,ADD,CALL_26.0: *edx,indirection 
119,14_121,IDENTIFIER,edx,edx,14_____26.0,,ADD,IDENTIFIER_26.0: edx,variable edx 
120,14_122,CALL,<operator>.shiftLeft,1 << 28,14_____26.0,,ADD,CALL_26.0: 1 << 28,shiftLeft 
121,14_123,LITERAL,,1,14_____26.0,,ADD,LITERAL_26.0: 1,literal  
122,14_124,LITERAL,,28,14_____26.0,,ADD,LITERAL_26.0: 28,literal  
123,14_125,CONTROL_STRUCTURE,,break;,14_____28.0,BREAK,ADD,CONTROL_STRUCTURE_28.0: break;,CtrlStruct 
124,14_126,JUMP_TARGET,case,case 2:,14_____29.0,,ADD,JUMP_TARGET_29.0: case 2:,JUMP_TARGET 
125,14_127,LITERAL,,2,14_____29.0,,ADD,LITERAL_29.0: 2,literal  
126,14_128,CALL,<operator>.assignment,*eax = 1,14_____31.0,,ADD,CALL_31.0: *eax = 1,assignment 
127,14_129,CALL,<operator>.indirection,*eax,14_____31.0,,ADD,CALL_31.0: *eax,indirection 
128,14_130,IDENTIFIER,eax,eax,14_____31.0,,ADD,IDENTIFIER_31.0: eax,variable eax 
129,14_131,LITERAL,,1,14_____31.0,,ADD,LITERAL_31.0: 1,literal  
130,14_132,CALL,<operator>.assignment,*ebx = 0,14_____32.0,,ADD,CALL_32.0: *ebx = 0,assignment 
131,14_133,CALL,<operator>.indirection,*ebx,14_____32.0,,ADD,CALL_32.0: *ebx,indirection 
132,14_134,IDENTIFIER,ebx,ebx,14_____32.0,,ADD,IDENTIFIER_32.0: ebx,variable ebx 
133,14_135,LITERAL,,0,14_____32.0,,ADD,LITERAL_32.0: 0,literal  
134,14_136,CALL,<operator>.assignment,*ecx = 0,14_____33.0,,ADD,CALL_33.0: *ecx = 0,assignment 
135,14_137,CALL,<operator>.indirection,*ecx,14_____33.0,,ADD,CALL_33.0: *ecx,indirection 
136,14_138,IDENTIFIER,ecx,ecx,14_____33.0,,ADD,IDENTIFIER_33.0: ecx,variable ecx 
137,14_139,LITERAL,,0,14_____33.0,,ADD,LITERAL_33.0: 0,literal  
138,14_140,CALL,<operator>.assignment,*edx = 0x2c307d,14_____34.0,,ADD,CALL_34.0: *edx = 0x2c307d,assignment 
139,14_141,CALL,<operator>.indirection,*edx,14_____34.0,,ADD,CALL_34.0: *edx,indirection 
140,14_142,IDENTIFIER,edx,edx,14_____34.0,,ADD,IDENTIFIER_34.0: edx,variable edx 
141,14_143,LITERAL,,0x2c307d,14_____34.0,,ADD,LITERAL_34.0: 0x2c307d,literal  
142,14_144,CONTROL_STRUCTURE,,break;,14_____35.0,BREAK,ADD,CONTROL_STRUCTURE_35.0: break;,CtrlStruct 
143,14_145,JUMP_TARGET,case,case 4:,14_____36.0,,ADD,JUMP_TARGET_36.0: case 4:,JUMP_TARGET 
144,14_146,LITERAL,,4,14_____36.0,,ADD,LITERAL_36.0: 4,literal  
145,14_147,CONTROL_STRUCTURE,,if (env->nr_cores > 1),14_____38.0,IF,ADD,CONTROL_STRUCTURE_38.0: if (env->nr_cores > 1),ifStmt 
146,14_148,CALL,<operator>.greaterThan,env->nr_cores > 1,14_____38.0,,ADD,CALL_38.0: env->nr_cores > 1,greaterThan 
147,14_149,CALL,<operator>.indirectFieldAccess,env->nr_cores,14_____38.0,,ADD,CALL_38.0: env->nr_cores,indirectFieldAccess 
148,14_150,IDENTIFIER,env,env,14_____38.0,,ADD,IDENTIFIER_38.0: env,variable env 
149,14_151,FIELD_IDENTIFIER,,nr_cores,14_____38.0,,ADD,FIELD_IDENTIFIER_38.0: nr_cores,variable  
150,14_152,LITERAL,,1,14_____38.0,,ADD,LITERAL_38.0: 1,literal  
152,14_154,CALL,<operator>.assignment,*eax = (env->nr_cores - 1) << 26,14_____39.0,,ADD,CALL_39.0: *eax = (env->nr_cores - 1) << 26,assignment 
153,14_155,CALL,<operator>.indirection,*eax,14_____39.0,,ADD,CALL_39.0: *eax,indirection 
154,14_156,IDENTIFIER,eax,eax,14_____39.0,,ADD,IDENTIFIER_39.0: eax,variable eax 
155,14_157,CALL,<operator>.shiftLeft,(env->nr_cores - 1) << 26,14_____39.0,,ADD,CALL_39.0: (env->nr_cores - 1) << 26,shiftLeft 
156,14_158,CALL,<operator>.subtraction,env->nr_cores - 1,14_____39.0,,ADD,CALL_39.0: env->nr_cores - 1,subtraction 
157,14_159,CALL,<operator>.indirectFieldAccess,env->nr_cores,14_____39.0,,ADD,CALL_39.0: env->nr_cores,indirectFieldAccess 
158,14_160,IDENTIFIER,env,env,14_____39.0,,ADD,IDENTIFIER_39.0: env,variable env 
159,14_161,FIELD_IDENTIFIER,,nr_cores,14_____39.0,,ADD,FIELD_IDENTIFIER_39.0: nr_cores,variable  
160,14_162,LITERAL,,1,14_____39.0,,ADD,LITERAL_39.0: 1,literal  
161,14_163,LITERAL,,26,14_____39.0,,ADD,LITERAL_39.0: 26,literal  
162,14_164,CONTROL_STRUCTURE,,else,14_____40.0,ELSE,ADD,CONTROL_STRUCTURE_40.0: else,CtrlStruct 
164,14_166,CALL,<operator>.assignment,*eax = 0,14_____41.0,,ADD,CALL_41.0: *eax = 0,assignment 
165,14_167,CALL,<operator>.indirection,*eax,14_____41.0,,ADD,CALL_41.0: *eax,indirection 
166,14_168,IDENTIFIER,eax,eax,14_____41.0,,ADD,IDENTIFIER_41.0: eax,variable eax 
167,14_169,LITERAL,,0,14_____41.0,,ADD,LITERAL_41.0: 0,literal  
168,14_170,CONTROL_STRUCTURE,,switch(count),14_____43.0,SWITCH,ADD,CONTROL_STRUCTURE_43.0: switch(count),CtrlStruct 
169,14_171,IDENTIFIER,count,count,14_____43.0,,ADD,IDENTIFIER_43.0: count,variable count 
171,14_173,JUMP_TARGET,case,case 0:,14_____44.0,,ADD,JUMP_TARGET_44.0: case 0:,JUMP_TARGET 
172,14_174,LITERAL,,0,14_____44.0,,ADD,LITERAL_44.0: 0,literal  
173,14_175,CALL,<operators>.assignmentOr,*eax |= 0x0000121,14_____45.0,,ADD,CALL_45.0: *eax |= 0x0000121,<operators>.assignmentOr 
174,14_176,CALL,<operator>.indirection,*eax,14_____45.0,,ADD,CALL_45.0: *eax,indirection 
175,14_177,IDENTIFIER,eax,eax,14_____45.0,,ADD,IDENTIFIER_45.0: eax,variable eax 
176,14_178,LITERAL,,0x0000121,14_____45.0,,ADD,LITERAL_45.0: 0x0000121,literal  
177,14_179,CALL,<operator>.assignment,*ebx = 0x1c0003f,14_____46.0,,ADD,CALL_46.0: *ebx = 0x1c0003f,assignment 
178,14_180,CALL,<operator>.indirection,*ebx,14_____46.0,,ADD,CALL_46.0: *ebx,indirection 
179,14_181,IDENTIFIER,ebx,ebx,14_____46.0,,ADD,IDENTIFIER_46.0: ebx,variable ebx 
180,14_182,LITERAL,,0x1c0003f,14_____46.0,,ADD,LITERAL_46.0: 0x1c0003f,literal  
181,14_183,CALL,<operator>.assignment,*ecx = 0x000003f,14_____47.0,,ADD,CALL_47.0: *ecx = 0x000003f,assignment 
182,14_184,CALL,<operator>.indirection,*ecx,14_____47.0,,ADD,CALL_47.0: *ecx,indirection 
183,14_185,IDENTIFIER,ecx,ecx,14_____47.0,,ADD,IDENTIFIER_47.0: ecx,variable ecx 
184,14_186,LITERAL,,0x000003f,14_____47.0,,ADD,LITERAL_47.0: 0x000003f,literal  
185,14_187,CALL,<operator>.assignment,*edx = 0x0000001,14_____48.0,,ADD,CALL_48.0: *edx = 0x0000001,assignment 
186,14_188,CALL,<operator>.indirection,*edx,14_____48.0,,ADD,CALL_48.0: *edx,indirection 
187,14_189,IDENTIFIER,edx,edx,14_____48.0,,ADD,IDENTIFIER_48.0: edx,variable edx 
188,14_190,LITERAL,,0x0000001,14_____48.0,,ADD,LITERAL_48.0: 0x0000001,literal  
189,14_191,CONTROL_STRUCTURE,,break;,14_____49.0,BREAK,ADD,CONTROL_STRUCTURE_49.0: break;,CtrlStruct 
190,14_192,JUMP_TARGET,case,case 1:,14_____50.0,,ADD,JUMP_TARGET_50.0: case 1:,JUMP_TARGET 
191,14_193,LITERAL,,1,14_____50.0,,ADD,LITERAL_50.0: 1,literal  
192,14_194,CALL,<operators>.assignmentOr,*eax |= 0x0000122,14_____51.0,,ADD,CALL_51.0: *eax |= 0x0000122,<operators>.assignmentOr 
193,14_195,CALL,<operator>.indirection,*eax,14_____51.0,,ADD,CALL_51.0: *eax,indirection 
194,14_196,IDENTIFIER,eax,eax,14_____51.0,,ADD,IDENTIFIER_51.0: eax,variable eax 
195,14_197,LITERAL,,0x0000122,14_____51.0,,ADD,LITERAL_51.0: 0x0000122,literal  
196,14_198,CALL,<operator>.assignment,*ebx = 0x1c0003f,14_____52.0,,ADD,CALL_52.0: *ebx = 0x1c0003f,assignment 
197,14_199,CALL,<operator>.indirection,*ebx,14_____52.0,,ADD,CALL_52.0: *ebx,indirection 
198,14_200,IDENTIFIER,ebx,ebx,14_____52.0,,ADD,IDENTIFIER_52.0: ebx,variable ebx 
199,14_201,LITERAL,,0x1c0003f,14_____52.0,,ADD,LITERAL_52.0: 0x1c0003f,literal  
200,14_202,CALL,<operator>.assignment,*ecx = 0x000003f,14_____53.0,,ADD,CALL_53.0: *ecx = 0x000003f,assignment 
201,14_203,CALL,<operator>.indirection,*ecx,14_____53.0,,ADD,CALL_53.0: *ecx,indirection 
202,14_204,IDENTIFIER,ecx,ecx,14_____53.0,,ADD,IDENTIFIER_53.0: ecx,variable ecx 
203,14_205,LITERAL,,0x000003f,14_____53.0,,ADD,LITERAL_53.0: 0x000003f,literal  
204,14_206,CALL,<operator>.assignment,*edx = 0x0000001,14_____54.0,,ADD,CALL_54.0: *edx = 0x0000001,assignment 
205,14_207,CALL,<operator>.indirection,*edx,14_____54.0,,ADD,CALL_54.0: *edx,indirection 
206,14_208,IDENTIFIER,edx,edx,14_____54.0,,ADD,IDENTIFIER_54.0: edx,variable edx 
207,14_209,LITERAL,,0x0000001,14_____54.0,,ADD,LITERAL_54.0: 0x0000001,literal  
208,14_210,CONTROL_STRUCTURE,,break;,14_____55.0,BREAK,ADD,CONTROL_STRUCTURE_55.0: break;,CtrlStruct 
209,14_211,JUMP_TARGET,case,case 2:,14_____56.0,,ADD,JUMP_TARGET_56.0: case 2:,JUMP_TARGET 
210,14_212,LITERAL,,2,14_____56.0,,ADD,LITERAL_56.0: 2,literal  
211,14_213,CALL,<operators>.assignmentOr,*eax |= 0x0000143,14_____57.0,,ADD,CALL_57.0: *eax |= 0x0000143,<operators>.assignmentOr 
212,14_214,CALL,<operator>.indirection,*eax,14_____57.0,,ADD,CALL_57.0: *eax,indirection 
213,14_215,IDENTIFIER,eax,eax,14_____57.0,,ADD,IDENTIFIER_57.0: eax,variable eax 
214,14_216,LITERAL,,0x0000143,14_____57.0,,ADD,LITERAL_57.0: 0x0000143,literal  
215,14_217,CONTROL_STRUCTURE,,if (env->nr_threads > 1),14_____58.0,IF,ADD,CONTROL_STRUCTURE_58.0: if (env->nr_threads > 1),ifStmt 
216,14_218,CALL,<operator>.greaterThan,env->nr_threads > 1,14_____58.0,,ADD,CALL_58.0: env->nr_threads > 1,greaterThan 
217,14_219,CALL,<operator>.indirectFieldAccess,env->nr_threads,14_____58.0,,ADD,CALL_58.0: env->nr_threads,indirectFieldAccess 
218,14_220,IDENTIFIER,env,env,14_____58.0,,ADD,IDENTIFIER_58.0: env,variable env 
219,14_221,FIELD_IDENTIFIER,,nr_threads,14_____58.0,,ADD,FIELD_IDENTIFIER_58.0: nr_threads,variable  
220,14_222,LITERAL,,1,14_____58.0,,ADD,LITERAL_58.0: 1,literal  
222,14_224,CALL,<operators>.assignmentOr,*eax |= (env->nr_threads - 1) << 14,14_____59.0,,ADD,CALL_59.0: *eax |= (env->nr_threads - 1) << 14,<operators>.assignmentOr 
223,14_225,CALL,<operator>.indirection,*eax,14_____59.0,,ADD,CALL_59.0: *eax,indirection 
224,14_226,IDENTIFIER,eax,eax,14_____59.0,,ADD,IDENTIFIER_59.0: eax,variable eax 
225,14_227,CALL,<operator>.shiftLeft,(env->nr_threads - 1) << 14,14_____59.0,,ADD,CALL_59.0: (env->nr_threads - 1) << 14,shiftLeft 
226,14_228,CALL,<operator>.subtraction,env->nr_threads - 1,14_____59.0,,ADD,CALL_59.0: env->nr_threads - 1,subtraction 
227,14_229,CALL,<operator>.indirectFieldAccess,env->nr_threads,14_____59.0,,ADD,CALL_59.0: env->nr_threads,indirectFieldAccess 
228,14_230,IDENTIFIER,env,env,14_____59.0,,ADD,IDENTIFIER_59.0: env,variable env 
229,14_231,FIELD_IDENTIFIER,,nr_threads,14_____59.0,,ADD,FIELD_IDENTIFIER_59.0: nr_threads,variable  
230,14_232,LITERAL,,1,14_____59.0,,ADD,LITERAL_59.0: 1,literal  
231,14_233,LITERAL,,14,14_____59.0,,ADD,LITERAL_59.0: 14,literal  
232,14_234,CALL,<operator>.assignment,*ebx = 0x3c0003f,14_____61.0,,ADD,CALL_61.0: *ebx = 0x3c0003f,assignment 
233,14_235,CALL,<operator>.indirection,*ebx,14_____61.0,,ADD,CALL_61.0: *ebx,indirection 
234,14_236,IDENTIFIER,ebx,ebx,14_____61.0,,ADD,IDENTIFIER_61.0: ebx,variable ebx 
235,14_237,LITERAL,,0x3c0003f,14_____61.0,,ADD,LITERAL_61.0: 0x3c0003f,literal  
236,14_238,CALL,<operator>.assignment,*ecx = 0x0000fff,14_____62.0,,ADD,CALL_62.0: *ecx = 0x0000fff,assignment 
237,14_239,CALL,<operator>.indirection,*ecx,14_____62.0,,ADD,CALL_62.0: *ecx,indirection 
238,14_240,IDENTIFIER,ecx,ecx,14_____62.0,,ADD,IDENTIFIER_62.0: ecx,variable ecx 
239,14_241,LITERAL,,0x0000fff,14_____62.0,,ADD,LITERAL_62.0: 0x0000fff,literal  
240,14_242,CALL,<operator>.assignment,*edx = 0x0000001,14_____63.0,,ADD,CALL_63.0: *edx = 0x0000001,assignment 
241,14_243,CALL,<operator>.indirection,*edx,14_____63.0,,ADD,CALL_63.0: *edx,indirection 
242,14_244,IDENTIFIER,edx,edx,14_____63.0,,ADD,IDENTIFIER_63.0: edx,variable edx 
243,14_245,LITERAL,,0x0000001,14_____63.0,,ADD,LITERAL_63.0: 0x0000001,literal  
244,14_246,CONTROL_STRUCTURE,,break;,14_____64.0,BREAK,ADD,CONTROL_STRUCTURE_64.0: break;,CtrlStruct 
245,14_247,JUMP_TARGET,default,default:,14_____65.0,,ADD,JUMP_TARGET_65.0: default:,JUMP_TARGET 
246,14_248,CALL,<operator>.assignment,*eax = 0,14_____66.0,,ADD,CALL_66.0: *eax = 0,assignment 
247,14_249,CALL,<operator>.indirection,*eax,14_____66.0,,ADD,CALL_66.0: *eax,indirection 
248,14_250,IDENTIFIER,eax,eax,14_____66.0,,ADD,IDENTIFIER_66.0: eax,variable eax 
249,14_251,LITERAL,,0,14_____66.0,,ADD,LITERAL_66.0: 0,literal  
250,14_252,CALL,<operator>.assignment,*ebx = 0,14_____67.0,,ADD,CALL_67.0: *ebx = 0,assignment 
251,14_253,CALL,<operator>.indirection,*ebx,14_____67.0,,ADD,CALL_67.0: *ebx,indirection 
252,14_254,IDENTIFIER,ebx,ebx,14_____67.0,,ADD,IDENTIFIER_67.0: ebx,variable ebx 
253,14_255,LITERAL,,0,14_____67.0,,ADD,LITERAL_67.0: 0,literal  
254,14_256,CALL,<operator>.assignment,*ecx = 0,14_____68.0,,ADD,CALL_68.0: *ecx = 0,assignment 
255,14_257,CALL,<operator>.indirection,*ecx,14_____68.0,,ADD,CALL_68.0: *ecx,indirection 
256,14_258,IDENTIFIER,ecx,ecx,14_____68.0,,ADD,IDENTIFIER_68.0: ecx,variable ecx 
257,14_259,LITERAL,,0,14_____68.0,,ADD,LITERAL_68.0: 0,literal  
258,14_260,CALL,<operator>.assignment,*edx = 0,14_____69.0,,ADD,CALL_69.0: *edx = 0,assignment 
259,14_261,CALL,<operator>.indirection,*edx,14_____69.0,,ADD,CALL_69.0: *edx,indirection 
260,14_262,IDENTIFIER,edx,edx,14_____69.0,,ADD,IDENTIFIER_69.0: edx,variable edx 
261,14_263,LITERAL,,0,14_____69.0,,ADD,LITERAL_69.0: 0,literal  
262,14_264,CONTROL_STRUCTURE,,break;,14_____70.0,BREAK,ADD,CONTROL_STRUCTURE_70.0: break;,CtrlStruct 
263,14_265,CONTROL_STRUCTURE,,break;,14_____72.0,BREAK,ADD,CONTROL_STRUCTURE_72.0: break;,CtrlStruct 
264,14_266,JUMP_TARGET,case,case 5:,14_____73.0,,ADD,JUMP_TARGET_73.0: case 5:,JUMP_TARGET 
265,14_267,LITERAL,,5,14_____73.0,,ADD,LITERAL_73.0: 5,literal  
266,14_268,CALL,<operator>.assignment,*eax = 0,14_____75.0,,ADD,CALL_75.0: *eax = 0,assignment 
267,14_269,CALL,<operator>.indirection,*eax,14_____75.0,,ADD,CALL_75.0: *eax,indirection 
268,14_270,IDENTIFIER,eax,eax,14_____75.0,,ADD,IDENTIFIER_75.0: eax,variable eax 
269,14_271,LITERAL,,0,14_____75.0,,ADD,LITERAL_75.0: 0,literal  
270,14_272,CALL,<operator>.assignment,*ebx = 0,14_____76.0,,ADD,CALL_76.0: *ebx = 0,assignment 
271,14_273,CALL,<operator>.indirection,*ebx,14_____76.0,,ADD,CALL_76.0: *ebx,indirection 
272,14_274,IDENTIFIER,ebx,ebx,14_____76.0,,ADD,IDENTIFIER_76.0: ebx,variable ebx 
273,14_275,LITERAL,,0,14_____76.0,,ADD,LITERAL_76.0: 0,literal  
274,14_276,CALL,<operator>.assignment,*ecx = CPUID_MWAIT_EMX | CPUID_MWAIT_IBE,14_____77.0,,ADD,CALL_77.0: *ecx = CPUID_MWAIT_EMX | CPUID_MWAIT_IBE,assignment 
275,14_277,CALL,<operator>.indirection,*ecx,14_____77.0,,ADD,CALL_77.0: *ecx,indirection 
276,14_278,IDENTIFIER,ecx,ecx,14_____77.0,,ADD,IDENTIFIER_77.0: ecx,variable ecx 
277,14_279,CALL,<operator>.or,CPUID_MWAIT_EMX | CPUID_MWAIT_IBE,14_____77.0,,ADD,CALL_77.0: CPUID_MWAIT_EMX | CPUID_MWAIT_IBE,or 
278,14_280,IDENTIFIER,CPUID_MWAIT_EMX,CPUID_MWAIT_EMX,14_____77.0,,ADD,IDENTIFIER_77.0: CPUID_MWAIT_EMX,variable CPUID_MWAIT_EMX 
279,14_281,IDENTIFIER,CPUID_MWAIT_IBE,CPUID_MWAIT_IBE,14_____77.0,,ADD,IDENTIFIER_77.0: CPUID_MWAIT_IBE,variable CPUID_MWAIT_IBE 
280,14_282,CALL,<operator>.assignment,*edx = 0,14_____78.0,,ADD,CALL_78.0: *edx = 0,assignment 
281,14_283,CALL,<operator>.indirection,*edx,14_____78.0,,ADD,CALL_78.0: *edx,indirection 
282,14_284,IDENTIFIER,edx,edx,14_____78.0,,ADD,IDENTIFIER_78.0: edx,variable edx 
283,14_285,LITERAL,,0,14_____78.0,,ADD,LITERAL_78.0: 0,literal  
284,14_286,CONTROL_STRUCTURE,,break;,14_____79.0,BREAK,ADD,CONTROL_STRUCTURE_79.0: break;,CtrlStruct 
285,14_287,JUMP_TARGET,case,case 6:,14_____80.0,,ADD,JUMP_TARGET_80.0: case 6:,JUMP_TARGET 
286,14_288,LITERAL,,6,14_____80.0,,ADD,LITERAL_80.0: 6,literal  
287,14_289,CALL,<operator>.assignment,*eax = 0,14_____82.0,,ADD,CALL_82.0: *eax = 0,assignment 
288,14_290,CALL,<operator>.indirection,*eax,14_____82.0,,ADD,CALL_82.0: *eax,indirection 
289,14_291,IDENTIFIER,eax,eax,14_____82.0,,ADD,IDENTIFIER_82.0: eax,variable eax 
290,14_292,LITERAL,,0,14_____82.0,,ADD,LITERAL_82.0: 0,literal  
291,14_293,CALL,<operator>.assignment,*ebx = 0,14_____83.0,,ADD,CALL_83.0: *ebx = 0,assignment 
292,14_294,CALL,<operator>.indirection,*ebx,14_____83.0,,ADD,CALL_83.0: *ebx,indirection 
